,name,text,label
0,1393.2004-06-21.GP.spam.txt,Subject tor nto top medications generic form ntermlne vlagra clalls super vlagra vallum xannax amblen paxll vloxx nexlum llpltor copy paste following url browser est viewed interner explorer located bze international imports inc north front belize city belize,spam
0,0612.2004-03-07.GP.spam.txt,Subject paliourg exceptional meedication tricks love private friends preparatory exercise love men paliourg looking place get medicatiuvon finest viagbtra cialfris quick weight aristogenesis prestissimo loss anti depressant medicatixion best offers valiumim xanahux exceptional deals percent ship wrdolwideyour easy solution http selcydc com index php completely anonymous purely agitation attitude good enough detailed consideration subject becoming men wanted marry,spam
0,0788.2004-04-06.GP.spam.txt,Subject iagra sex,spam
0,4938.2005-07-27.GP.spam.txt,Subject celebration speak must decimal hard song cut strong beauty thing see first receive came stop lie game find stick large verb food figure clock wonder reach subject good stay catch shoe slow wing arrange right clock matter brother excite language letter settle sound part phone mobile email anthonytrevelyan club com,spam
0,1748.2004-08-02.GP.spam.txt,Subject link dwl wireless pci lan adapter dwl high speed ghz wireless pci lan adapter ieee standardupto mbpsoperating frequency range ghz ideal solution enabling wireless networking capabilities desktops pcs home office dwl visit http www computron com deals link dwl wireless pci lan adapter link wireless pci adapter featuring latest ieee wireless technology deliverincredibly fast data transfer ghz frequency features standard backwards compatible existing products already also offers bit wep encryption includes removable antenna driver get link wireless pci lan adapter today general features pci interface removable antenna bit wep encryption link act led plug play one stop distributorjebel ali duty free zonedubai uae www computron com latest clearance sale listing contact sales department limited quantities available selected specials details please send enquiries dealers emirates net aeor contact via www computron com compaq hewlett packard com dell intel iomega epson aopen creative toshiba apc cisco robotics microsoft canon intellinet targus viewsonic ibm sony lots complaints suggestions contact customerservice computron com tel prices dollars works fax jebel ali duty free zone www computron com prices availability subject change usa canada without notice receive special offers plain text format reply mail request export email considered spam long include contact information remove instructions message intended dealer resellers somehow gotten list error reason would like removed please reply remove subject line message message sent compliance federal legislation commercial mail section paragraph bill title iii passed congress logos trademarks property respective owners products may exactly shown unsubscribe computron follow link click link copy paste address browser,spam
0,1649.2004-07-18.GP.spam.txt,Subject buy office fifty bucks percentage htmlheadmeta http equiv content type content text html charset windows titleaxis newsletter eureka titlestyletd font family tahoma verdana arial font size small font size style headbody bgcolor whitetable align lefttrtd width font size fontbr font color bmicrosoft software superb prices font oem software comes without bells whistles get fancy packaging manual instead receive brand new software unique registration code able give software away fraction retail price charge shipping tdtd width bgcolor nbsp trtr width tdbrtable width trtdimg src http images amazon com images afio mzzzzzzz jpg tdtd width img src biaxial gif width height border tdtdfont size bofficexp fontbr font size microsoft office professional puts features need within reach times new improved tools access allow build manage lists databases analyze information databases microsoft sql server new context sensitive smart tags pop options need right need digging menus tasks required multiple steps one click away new taskpane fontbrbr font color bretail font href http cornmeal incbggc info oeol affiliate campaign order font color save font tabletable width trtdimg src http images amazon com images moth mzzzzzzz jpg tdtd width nbsp tdtdfont size bwindowsxp fontbr font size designed businesses sizes home users demand computing experience windows professional delivers new standard reliability performance includes great features new visual design windows home edition plus premier security privacy features advanced recovery options improved ability connect large networks much fontbrbr font color bretail font href http netherworld incbggc info oeol affiliate campaign order font color save font tabletable width trtdimg src http images amazon com images mnxv mzzzzzzz jpg tdtd width nbsp tdtdfont size bwindows server fontbr font size windows server productive infrastructure platform powering connected applications networks web services workgroup data center easy deploy manage use windows server helps build secure infrastructure provides powerful application platform quickly building connected solutions information worker infrastructure enhanced communication collaboration anytime anywhere fontbrbr font color bretail font href http brookside incbggc info oeol affiliate campaign order font color save font tablehrfont size bmany titles available fontbr href http ecosystem incbggc info oeol affiliate campaign view whole software catalogue abrbrbrbrp hull million eitherbrinflict almagest bobolinkbrchiton curbradd font tdtd width bgcolor nbsp table body html,spam
0,3291.2004-12-25.GP.spam.txt,Subject extend best quality soft oem shop stock limited offer valid till january microsoft windows pro microsoft office pro price info macromedia dreamwaver flash price info adobe photoshop adobe premiere adobe illustrator price info many others,spam
0,3221.2004-12-16.GP.spam.txt,Subject site needs mass marketing program exposure zko setup incredible deal put website promotion autopilot details http www got web site traffic com every site needs massive marketing program order success essential part campaign traffic sales easy get exposure every month imagine traffic sales problem solved forever spots program limited hurry http www got web site traffic com stop future mailings doria assonant bituminous futile buff othello beatnik byline sperry bivariate yuh espionage unipolar nobelium britannica kingbird shibboleth teenage persuade codfish canton venture amaze bulwark counterargument emily dive tremendous angle polarogram seeing dolomite request burly watchmake mental tuple spacesuit without demoniac highroad poole deregulatory bramble fur soapsud aborigine bemoan frescoes salesman crash dedicate cholinesterase buddhism annie effluent surrender walrus woodhen earnest wise cayenne walt dextrose bloop sat malconduct cecilia combustible xylene marry dearth rheology hopscotch pollution strabismus paris eddy debugged asphyxiate promotion problem solved gkfas charter net,spam
0,3962.2005-03-03.GP.spam.txt,Subject super cheap rates best sexual health drug power effects cialis stay body times longer vlagra save order generic cialis today chewable like soft candy excalibu snuffybeautifu roy taffy daddy birdturbo abby cookies volley property laddie october spain tigre memory qwertyl vermont ladybug ssssss daddy rusty rock sundance mortimerscooby jamaica mantra polo chaoskhan alison larry oranges wanker roy,spam
0,3661.2005-02-02.GP.spam.txt,Subject,spam
0,1048.2004-05-06.GP.spam.txt,Subject thu may first gove rnment rtgage program new bill aspecial budget help family lot privileges available spots open left apply orekexycd lbxqprpl qczgmgo aigqykkq eppyplt rjxtarbbw dbwel adfttphh hofgz rslku xcfdln urjifs lqfolclb wbluji agbohyq ypdqzhlb xqgjzz zpfsbecdz aerrwzu aocgwbqhf shjwsamm enxwyy aldydwr wqjgshtwp pnggdkf msyjvmd wqajjz qbmjnhm bhhcxhzb mfyfqqpq mqmwrdi bfhoqf slicyivqu asaieqy qiwszlr njvhdrq nqdpvvdpf rnlegqjkq ledubguhg qlaqv kilssupu mrzarcwft dfmqrwk qujclty bgnyunclq sberhy krwwuu euobkaqc alehc gszsii svpejcjy icilzfqj zhsibxb hwneqyojs mdsyejxuv vgwpo mwimgv xtcrdtdmk ovblciyry ajjxwclu sqkeexcl hnnmvyc texndw mxdiggvdy qmzkad tqexitef svasafe zgmmubadf enrbe ieqjcjzp wepxlvrdb frsmusksk eturb iwbwynsh mtlthjjj anlyh zcthi ubvtmt mktbptssl ahwsil qtoqxibl udpvawze jvtxco vacaupes ricoy blhmucsg dyzyjd wyfmgrqgp xvvon ackuyjpvd hsdtjketz btvtyjg jhdchkrpk ndelpua tmhdk tpbvzbs htpxh ksihlwzb clpsjriw wvqbwm fgkhzrl zbxgqw uvidftcyj umtgrrc hvdegux dndqxyzos bfxuqkgpv lhics zcxdmwn onxfkanen cqxfigcos uxjdbtw pbcojwlg gbpbh wezgswxji qynydvsh jlxsl chcayhn zligzgc uoaey cmwpuk wvyscckzd irolmubb sbpdthrks rseicsnv jeomt jxcumnnk zqlzaeqau oprbf iyfklp zjmhixy kuhpeofx dvmhmg azwybxnaw fznuns dehbi cfooqka tfjapudej vzosyi uxlfk aminjd jthorhzkp lbezygric pcfpui ngpjcal qxzvwz spjpy cbrfzfdtd jnatiq iaxmlhfy xbuupzbxa isxzakvik cfrnwopom gyetr gmxeml iavlwbji spmbsxz wfcppp tyqmi gvrhqdx dgcrxq iezgm xsxupevt xjdzpjkr dzcjosm vlbfwgr yrqjqnwsb qymqxpp tpfiyxnj mufxihe msxtwbdn uzlkcxe xzxrl ghgblzqpx cxiejqz vwdfasiyo bidomdm kainbojwt sagjmjqg hiqvbopj kwmmdr twappjda glgeywy vktgi yswxp mvttqmbmz xzfbaxb tlbujnsqs cxtfr rpiebkwgu pefne hvfsdvr akffxld tsoml jfomfdrz cvbxdeuax aivhhg axtdwzuaj bxptlkt khtteweg ggfpctmr yzecrdym lwbpat gfgkq mdkva itphozdcl chtalb gcpgh vjmrgq iazticy zpwapnw nvlij rfcqnn gpihny xafzo zpgbk tcwpt bxfiurmpj jamkkktew fbnxrsni kdnsvnj jxpioi rwsjrky bpoqwbmx jiccjce obirail ubgez etphmpoq kxyoawkee snfruq xjnrgieo mlnewpmuo bwvcnfyrs mojxmnprl vswzxq bgmbhpm lishxobwc gjwpfnssm xuiiec,spam
0,4727.2005-06-19.GP.spam.txt,Subject new era online medical care new era online medical care nudities objectionable naked truth man thinks mouthing hard words understands hard things free prejudices hate everyone equally great spirits always encountered violent opposition mediocre minds,spam
0,3107.2004-12-07.GP.spam.txt,Subject keep life absolutely incredible feel energy recapture youth many powerful second chance press read common element change way experience next half life original message boxl oranjestad aruba mailto carri voq com sent friday march casandra margert ytqg com lenny teodoro felicidad subject box link say thank future quality included studies poor overall detect bias induced measures assessed could obtain data cause fatality studies unlikely missing results would shift results studies comparing lactam relative risk concern studies comparing different lactams may detect important harm patients assessment treatment effects patients aeruginosa gram negative blood infections relies subgroup analysis detect advantage combination therapy among patients patients documented aeruginosa infections could evaluated narrow escape auditorium tower weather man sits flash reports throughout country offered inviting place boy alight,spam
0,4887.2005-07-18.GP.spam.txt,Subject blows spur formula increase sperm production shoot five times load longer satisfying orgasms complete satisfaction fully guaranteed industry leader money back guarantee never needed million customers world top porn stars use huge effects http ossifies com spur,spam
